,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.014,0.864,0.072
DCC_joint,0.014,,0.854,0.055
SW_cross_validated,0.864,0.854,,0.916
sFC,0.072,0.055,0.916,
