,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.024,1.057,0.108
DCC_joint,0.024,,1.055,0.080
SW_cross_validated,1.057,1.055,,1.142
sFC,0.108,0.080,1.142,
