,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.964,0.644,0.248
DCC_joint,0.964,,0.297,0.799
SW_cross_validated,0.644,0.297,,0.465
sFC,0.248,0.799,0.465,
