,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.000,0.082
DCC_joint,0.000,,0.137,0.000
SW_cross_validated,0.000,0.137,,0.000
sFC,0.082,0.000,0.000,
