,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.000,0.000
DCC_joint,0.000,,0.732,0.000
SW_cross_validated,0.000,0.732,,0.001
sFC,0.000,0.000,0.001,
