,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.067,0.714,3.059
DCC_joint,0.067,,0.661,3.000
SW_cross_validated,0.714,0.661,,1.742
sFC,3.059,3.000,1.742,
