,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.452,0.770
DCC_joint,0.000,,0.000,0.000
SW_cross_validated,0.452,0.000,,0.590
sFC,0.770,0.000,0.590,
