,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.559,0.202,0.092
DCC_joint,0.559,,0.645,0.665
SW_cross_validated,0.202,0.645,,0.134
sFC,0.092,0.665,0.134,
