,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.536,0.704,0.174
DCC_joint,0.536,,0.149,0.408
SW_cross_validated,0.704,0.149,,0.581
sFC,0.174,0.408,0.581,
