,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.791,0.651,1.802
DCC_joint,0.791,,0.035,0.728
SW_cross_validated,0.651,0.035,,0.663
sFC,1.802,0.728,0.663,
