,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.029,0.709,0.110
DCC_joint,0.029,,0.724,0.079
SW_cross_validated,0.709,0.724,,0.801
sFC,0.110,0.079,0.801,
