,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.473,0.000,0.258
DCC_joint,0.473,,0.000,0.712
SW_cross_validated,0.000,0.000,,0.000
sFC,0.258,0.712,0.000,
