,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.017,0.758
DCC_joint,0.000,,0.000,0.000
SW_cross_validated,0.017,0.000,,0.025
sFC,0.758,0.000,0.025,
