,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.118,0.275,1.763
DCC_joint,0.118,,0.422,2.199
SW_cross_validated,0.275,0.422,,1.425
sFC,1.763,2.199,1.425,
