,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.768,0.000,0.271
DCC_joint,0.768,,0.000,0.432
SW_cross_validated,0.000,0.000,,0.000
sFC,0.271,0.432,0.000,
