,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,1.008,0.855,9.452
DCC_joint,1.008,,0.253,4.871
SW_cross_validated,0.855,0.253,,6.320
sFC,9.452,4.871,6.320,
