,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.048,0.400
DCC_joint,0.000,,0.000,0.000
SW_cross_validated,0.048,0.000,,0.174
sFC,0.400,0.000,0.174,
