,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.345,0.269,3.814
DCC_joint,0.345,,0.049,4.207
SW_cross_validated,0.269,0.049,,3.604
sFC,3.814,4.207,3.604,
