,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.214,0.002,0.000
DCC_joint,0.214,,0.056,0.000
SW_cross_validated,0.002,0.056,,0.038
sFC,0.000,0.000,0.038,
