,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.848,0.000,0.439
DCC_joint,0.848,,0.000,0.580
SW_cross_validated,0.000,0.000,,0.000
sFC,0.439,0.580,0.000,
