,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.243,0.591,4.370
DCC_joint,0.243,,0.354,3.670
SW_cross_validated,0.591,0.354,,2.795
sFC,4.370,3.670,2.795,
