,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.674,0.660,1.325
DCC_joint,0.674,,0.034,0.422
SW_cross_validated,0.660,0.034,,0.347
sFC,1.325,0.422,0.347,
