,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.523,0.000,0.707
DCC_joint,0.523,,0.000,0.313
SW_cross_validated,0.000,0.000,,0.000
sFC,0.707,0.313,0.000,
