,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.222,0.000,0.257
DCC_joint,0.222,,0.000,0.919
SW_cross_validated,0.000,0.000,,0.000
sFC,0.257,0.919,0.000,
