,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.072,0.764,0.113
DCC_joint,0.072,,0.809,0.037
SW_cross_validated,0.764,0.809,,0.864
sFC,0.113,0.037,0.864,
