,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.000,0.037
DCC_joint,0.000,,0.157,0.030
SW_cross_validated,0.000,0.157,,0.000
sFC,0.037,0.030,0.000,
