,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.547,0.135,5.165
DCC_joint,0.547,,0.470,5.730
SW_cross_validated,0.135,0.470,,5.915
sFC,5.165,5.730,5.915,
