,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.560,0.198,0.084
DCC_joint,0.560,,0.641,0.656
SW_cross_validated,0.198,0.641,,0.136
sFC,0.084,0.656,0.136,
