,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.000,0.000,0.282
DCC_joint,0.000,,0.007,0.001
SW_cross_validated,0.000,0.007,,0.000
sFC,0.282,0.001,0.000,
