,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.922,0.000,0.398
DCC_joint,0.922,,0.000,0.477
SW_cross_validated,0.000,0.000,,0.000
sFC,0.398,0.477,0.000,
