,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.667,0.000,0.370
DCC_joint,0.667,,0.000,0.638
SW_cross_validated,0.000,0.000,,0.000
sFC,0.370,0.638,0.000,
