,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.040,0.784,0.087
DCC_joint,0.040,,0.822,0.047
SW_cross_validated,0.784,0.822,,0.860
sFC,0.087,0.047,0.860,
