,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.007,0.830,0.081
DCC_joint,0.007,,0.817,0.071
SW_cross_validated,0.830,0.817,,0.898
sFC,0.081,0.071,0.898,
