,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.124,0.133,0.238,0.263,0.304,0.327,0.332,0.226,0.231,0.171,0.173,0.229
DCC_joint,0.152,0.152,0.225,0.242,0.260,0.269,0.273,0.195,0.246,0.167,0.171,0.214
DCC_bivariate_loop,0.153,0.152,0.226,0.243,0.261,0.269,0.273,0.197,0.248,0.168,0.173,0.215
SW_cross_validated,0.180,0.179,0.237,0.250,0.280,0.289,0.314,0.234,0.255,0.213,0.198,0.239
SW_15,0.316,0.318,0.341,0.344,0.348,0.345,0.347,0.316,0.350,0.318,0.328,0.334
SW_30,0.255,0.252,0.280,0.282,0.294,0.288,0.299,0.260,0.301,0.258,0.265,0.276
SW_60,0.201,0.201,0.245,0.240,0.268,0.279,0.314,0.217,0.269,0.214,0.209,0.241
SW_120,0.173,0.170,0.234,0.257,0.322,0.367,0.376,0.233,0.242,0.193,0.175,0.249
sFC,0.049,0.046,0.317,0.314,0.311,0.314,0.310,0.174,0.353,0.100,0.142,0.221
