,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.037,0.019,0.021,0.022,0.041,0.023,0.009,0.008,0.024,0.023,0.022,0.023
DCC_joint,0.016,0.022,0.014,0.012,0.008,0.014,0.015,0.018,0.021,0.015,0.015,0.015
DCC_bivariate_loop,0.016,0.022,0.014,0.012,0.008,0.015,0.016,0.019,0.022,0.016,0.014,0.016
SW_cross_validated,0.020,0.029,0.021,0.021,0.018,0.035,0.036,0.014,0.019,0.030,0.025,0.024
SW_15,0.009,0.017,0.010,0.010,0.016,0.017,0.015,0.022,0.017,0.017,0.007,0.014
SW_30,0.012,0.017,0.014,0.014,0.016,0.014,0.016,0.022,0.021,0.018,0.013,0.016
SW_60,0.018,0.022,0.025,0.020,0.023,0.015,0.013,0.013,0.023,0.022,0.016,0.019
SW_120,0.021,0.021,0.032,0.023,0.013,0.017,0.015,0.010,0.021,0.022,0.013,0.019
sFC,0.023,0.011,0.017,0.012,0.008,0.011,0.010,0.009,0.010,0.011,0.013,0.012
