,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.053,0.090,0.191,0.207,0.264,0.304,0.308,0.178,0.196,0.125,0.110,0.184
DCC_joint,0.039,0.164,0.205,0.219,0.241,0.251,0.251,0.154,0.234,0.123,0.130,0.183
DCC_bivariate_loop,0.047,0.165,0.208,0.220,0.243,0.253,0.254,0.162,0.235,0.127,0.137,0.186
SW_cross_validated,0.119,0.111,0.199,0.202,0.229,0.241,0.266,0.182,0.199,0.147,0.125,0.184
SW_15,0.222,0.244,0.255,0.250,0.258,0.256,0.251,0.226,0.261,0.227,0.240,0.244
SW_30,0.158,0.186,0.203,0.199,0.216,0.208,0.213,0.177,0.221,0.175,0.180,0.194
SW_60,0.132,0.134,0.194,0.185,0.220,0.231,0.273,0.153,0.202,0.146,0.136,0.182
SW_120,0.120,0.107,0.202,0.225,0.300,0.349,0.361,0.196,0.186,0.138,0.107,0.208
sFC,0.048,0.047,0.316,0.314,0.311,0.314,0.310,0.174,0.353,0.099,0.142,0.221
