,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.08,0.54,10.94,44.01,29.06,16.94,6.48,0.91
DCC_joint,,1.08,,0.38,9.38,41.63,26.95,15.29,5.90,0.17
DCC_bivariate_loop,,0.54,0.38,,8.28,36.20,23.23,13.43,5.88,0.23
SW_cross_validated,,10.94,9.38,8.28,,37.12,20.39,7.27,1.69,9.67
SW_15,,44.01,41.63,36.20,37.12,,17.58,28.49,14.82,42.19
SW_30,,29.06,26.95,23.23,20.39,17.58,,12.08,6.84,27.41
SW_60,,16.94,15.29,13.43,7.27,28.49,12.08,,1.44,15.63
SW_120,,6.48,5.90,5.88,1.69,14.82,6.84,1.44,,6.00
sFC,,0.91,0.17,0.23,9.67,42.19,27.41,15.63,6.00,
