,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.08,5.65,19.32,73.68,51.58,32.78,20.67,2.31
DCC_joint,,3.08,,3.42,20.55,87.75,61.78,37.45,21.15,-0.80
DCC_bivariate_loop,,5.65,3.42,,13.30,70.48,47.23,27.52,15.51,-3.97
SW_cross_validated,,19.32,20.55,13.30,,74.52,45.38,19.06,5.19,-20.07
SW_15,,73.68,87.75,70.48,74.52,,-33.09,-55.13,-53.85,-83.55
SW_30,,51.58,61.78,47.23,45.38,-33.09,,-24.95,-29.33,-58.60
SW_60,,32.78,37.45,27.52,19.06,-55.13,-24.95,,-9.60,-35.95
SW_120,,20.67,21.15,15.51,5.19,-53.85,-29.33,-9.60,,-20.95
sFC,,2.31,-0.80,-3.97,-20.07,-83.55,-58.60,-35.95,-20.95,
