,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.55,3.17,0.78,5.72,3.16,1.06,1.63,27.94
DCC_joint,,5.55,,2.75,5.24,0.29,2.57,4.31,2.72,15.97
DCC_bivariate_loop,,3.17,2.75,,2.66,2.99,0.11,1.91,0.67,24.04
SW_cross_validated,,0.78,5.24,2.66,,5.42,2.67,0.41,1.15,32.33
SW_15,,5.72,0.29,2.99,5.42,,2.82,4.51,2.92,14.91
SW_30,,3.16,2.57,0.11,2.67,2.82,,1.95,0.74,22.30
SW_60,,1.06,4.31,1.91,0.41,4.51,1.95,,0.77,23.49
SW_120,,1.63,2.72,0.67,1.15,2.92,0.74,0.77,,15.06
sFC,,27.94,15.97,24.04,32.33,14.91,22.30,23.49,15.06,
