,0,1,2
0,0.67,0.32,0.01
1,0.84,0.13,0.03
2,0.87,0.01,0.12
3,0.46,0.30,0.24
4,0.76,0.14,0.10
5,0.38,0.53,0.09
6,0.52,0.26,0.21
7,0.03,0.97,
8,0.53,0.39,0.08
9,0.62,0.38,0.01
10,1.00,,
11,0.97,0.03,
12,0.92,0.08,
13,1.00,,
14,0.31,0.57,0.12
15,0.99,0.01,
16,0.58,0.41,0.01
17,0.15,0.76,0.09
18,0.78,0.21,0.00
19,1.00,0.00,
20,0.64,0.35,0.00
21,0.72,0.28,
22,0.99,0.01,
23,0.49,0.51,
24,0.19,0.33,0.49
25,0.55,0.38,0.07
26,0.07,0.93,
27,0.33,0.40,0.27
28,0.47,0.20,0.34
29,1.00,,
30,0.44,0.09,0.47
31,0.13,0.50,0.36
32,0.52,0.47,0.01
33,0.70,0.19,0.11
34,0.48,0.30,0.22
35,1.00,,
36,0.66,0.28,0.06
37,0.87,0.13,0.01
38,0.28,0.72,
39,0.74,0.13,0.12
40,1.00,,
41,0.99,0.01,
42,0.10,0.90,
43,0.99,0.01,
44,0.36,0.59,0.04
45,1.00,,
46,0.91,0.09,
47,0.51,0.29,0.20
48,1.00,,
49,0.64,0.36,
50,0.44,0.30,0.26
51,0.08,0.26,0.66
52,0.98,0.01,0.01
53,0.55,0.38,0.07
54,0.71,0.10,0.19
55,0.84,0.15,0.01
56,0.42,0.55,0.02
57,0.13,0.51,0.36
58,0.95,0.02,0.03
59,0.92,0.08,0.00
60,0.58,0.37,0.04
61,0.10,0.51,0.38
62,1.00,,
63,0.98,0.02,
64,0.97,0.03,
65,0.72,0.23,0.05
66,1.00,,
67,0.81,0.18,
68,0.27,0.73,
69,0.98,0.02,0.00
70,0.32,0.09,0.60
71,0.45,0.55,
72,0.85,0.15,
73,0.10,0.66,0.24
74,0.45,0.31,0.24
75,0.68,0.28,0.04
76,0.76,0.24,0.01
77,0.30,0.62,0.08
78,0.35,0.65,
79,0.92,0.07,0.01
80,0.27,0.15,0.58
81,0.34,0.45,0.21
82,0.38,0.07,0.55
83,0.71,0.28,0.02
84,1.00,,
85,0.94,0.06,0.01
86,0.03,0.52,0.45
87,0.96,0.04,
88,0.70,0.26,0.04
89,0.11,0.12,0.77
90,1.00,,
91,0.27,0.31,0.42
92,0.48,0.46,0.06
93,0.02,0.18,0.80
94,0.96,0.04,
95,1.00,,
96,0.48,0.49,0.03
97,0.22,0.40,0.38
98,0.46,0.15,0.39
99,0.95,0.03,0.02
100,0.58,0.17,0.25
101,0.99,0.01,
102,0.98,0.02,
103,0.12,0.55,0.34
104,0.60,0.03,0.37
105,0.99,0.01,
106,0.47,0.18,0.34
107,0.81,0.18,0.00
108,0.75,0.20,0.06
109,0.70,0.21,0.09
110,0.17,0.57,0.26
111,0.02,0.22,0.76
112,1.00,,
113,0.18,0.33,0.49
114,0.50,0.11,0.39
115,0.66,0.21,0.13
116,0.55,0.26,0.19
117,0.62,0.32,0.06
118,0.80,0.19,0.01
119,1.00,,
120,0.97,0.03,
121,0.24,0.74,0.01
122,1.00,,
123,0.34,0.49,0.17
124,0.17,0.58,0.24
125,0.72,0.28,0.00
126,0.70,0.30,0.00
127,0.77,0.19,0.04
128,0.87,0.11,0.02
129,0.82,0.17,
130,1.00,,
131,0.63,0.16,0.21
132,0.51,0.15,0.34
133,0.45,0.53,0.03
134,0.57,0.39,0.04
135,1.00,,
136,0.60,0.26,0.13
137,0.96,0.04,
138,0.97,0.03,
139,1.00,,
140,0.87,0.00,0.13
141,0.92,0.08,
142,0.79,0.21,
143,0.02,0.98,
144,0.89,0.11,
145,0.67,0.14,0.19
146,0.83,0.14,0.03
147,0.90,0.10,0.01
148,0.14,0.62,0.24
149,0.72,0.02,0.27
150,0.84,0.15,0.01
151,0.47,0.53,
152,0.32,0.27,0.41
153,0.78,0.22,0.00
154,0.77,0.06,0.17
155,0.83,0.16,0.01
156,0.92,0.01,0.07
157,0.45,0.51,0.04
158,0.31,0.24,0.45
159,0.92,0.07,0.01
160,0.25,0.75,
161,0.92,0.08,
162,1.00,,
163,0.41,0.51,0.08
164,1.00,0.00,
165,0.51,0.29,0.21
166,1.00,,
167,1.00,,
168,0.68,0.32,0.00
169,1.00,,
170,0.29,0.51,0.20
171,0.35,0.48,0.16
172,0.90,0.09,0.02
173,0.66,0.34,
174,0.95,0.03,0.02
175,1.00,,
176,0.09,0.91,
177,0.30,0.27,0.43
178,0.72,0.28,
179,0.87,0.02,0.11
180,0.99,0.01,
181,0.95,0.04,0.01
182,0.95,0.05,
183,0.74,0.26,0.01
184,1.00,,
185,0.56,0.44,
186,0.43,0.31,0.27
187,0.10,0.90,
188,0.96,0.04,
189,1.00,,
190,0.41,0.56,0.04
191,0.86,0.12,0.01
192,0.13,0.38,0.49
193,0.18,0.17,0.65
194,0.50,0.50,
195,0.92,0.03,0.05
196,1.00,,
197,0.47,0.50,0.03
198,1.00,,
199,0.93,0.07,0.01
200,0.99,0.01,
201,0.78,0.22,
202,0.87,0.08,0.04
203,0.50,0.50,
204,0.32,0.24,0.45
205,0.76,0.18,0.05
206,1.00,,
207,1.00,,
208,1.00,,
209,0.98,0.00,0.01
210,0.21,0.57,0.22
211,0.33,0.67,0.00
212,0.98,0.02,
213,0.81,0.01,0.17
214,1.00,,
215,0.66,0.06,0.28
216,0.98,0.02,
217,0.83,0.14,0.03
218,0.53,0.47,
219,0.96,0.04,
220,0.68,0.27,0.05
221,0.99,0.01,
222,0.14,0.86,0.00
223,0.41,0.21,0.38
224,0.90,0.09,0.01
225,1.00,,
226,0.58,0.36,0.06
227,0.91,0.04,0.04
228,0.75,0.17,0.07
229,0.49,0.30,0.22
230,0.98,0.01,0.01
231,0.20,0.45,0.36
232,0.96,0.04,
233,0.71,0.22,0.07
234,1.00,,
235,1.00,,
236,1.00,,
237,0.78,0.04,0.17
238,1.00,0.00,
239,0.99,0.01,
240,0.41,0.05,0.53
241,1.00,,
242,0.99,0.01,
243,1.00,,
244,0.60,0.40,0.01
245,0.68,0.25,0.07
246,0.77,0.23,0.00
247,0.79,0.21,
248,0.98,0.01,0.01
249,0.36,0.05,0.59
250,1.00,,
251,1.00,,
252,0.60,0.40,
253,0.39,0.49,0.12
254,0.52,0.39,0.09
255,0.82,0.01,0.17
256,0.44,0.51,0.05
257,0.94,0.06,0.00
258,1.00,,
259,0.37,0.63,
260,0.57,0.43,
261,0.45,0.24,0.31
262,0.99,0.01,
263,0.98,0.01,0.01
264,0.94,0.06,
265,1.00,,
266,0.33,0.67,
267,1.00,,
268,0.21,0.79,
269,1.00,,
270,0.86,0.14,
271,0.13,0.54,0.33
272,1.00,,
273,0.94,0.03,0.02
274,0.56,0.42,0.02
275,1.00,,
276,1.00,,
277,1.00,,
278,0.78,0.20,0.03
279,1.00,,
280,0.22,0.49,0.29
281,0.91,0.10,
282,0.39,0.60,0.01
283,0.67,0.28,0.04
284,1.00,,
285,1.00,,
286,1.00,,
287,0.56,0.38,0.06
288,1.00,,
289,0.80,0.20,
290,0.11,0.52,0.38
291,0.86,0.14,
292,0.77,0.10,0.14
293,0.60,0.40,
294,0.91,0.09,
295,0.49,0.24,0.27
296,0.99,0.01,
297,0.56,0.22,0.21
298,0.32,0.64,0.04
299,0.57,0.32,0.11
300,1.00,,
301,0.65,0.24,0.11
302,0.54,0.45,0.01
303,0.40,0.59,0.00
304,0.60,0.35,0.05
305,0.63,0.36,0.01
306,0.25,0.47,0.28
307,0.21,0.79,
308,0.65,0.33,0.02
309,0.65,0.25,0.10
310,0.19,0.81,
311,0.71,0.29,0.00
312,0.54,0.16,0.31
313,0.41,0.58,0.01
314,0.17,0.83,
315,0.17,0.83,
316,0.81,0.18,0.01
317,0.48,0.24,0.29
318,1.00,,
319,0.49,0.16,0.35
320,0.99,0.01,
321,0.55,0.38,0.07
322,0.80,0.13,0.07
323,0.15,0.60,0.25
324,0.86,0.05,0.09
325,0.64,0.32,0.04
326,1.00,,
327,0.41,0.54,0.05
328,0.99,0.01,0.00
329,0.76,0.24,0.00
330,0.70,0.24,0.06
331,0.33,0.63,0.04
332,0.31,0.63,0.06
333,0.33,0.67,
334,1.00,0.00,
335,0.91,0.08,0.01
336,1.00,,
337,1.00,,
338,0.88,0.11,0.01
339,1.00,,
340,0.35,0.25,0.40
341,1.00,,
342,0.18,0.22,0.60
343,0.15,0.46,0.39
344,0.60,0.35,0.04
345,0.50,0.44,0.06
346,0.01,0.95,0.05
347,0.32,0.46,0.22
348,0.17,0.83,
349,0.20,0.81,
350,0.73,0.08,0.20
351,0.96,0.01,0.03
352,0.96,0.04,
353,1.00,0.00,
354,0.38,0.35,0.27
355,0.86,0.14,
356,0.95,0.02,0.04
357,1.00,,
358,0.09,0.29,0.62
359,0.54,0.46,
360,1.00,,
361,0.09,0.41,0.50
362,0.99,0.01,
363,1.00,,
364,0.74,0.25,0.02
365,0.14,0.86,
366,1.00,,
367,1.00,,
368,0.36,0.16,0.48
369,0.49,0.51,
370,1.00,,
371,1.00,,
372,0.98,0.02,
373,0.02,0.98,
374,0.22,0.76,0.02
375,0.56,0.33,0.11
376,0.63,0.23,0.14
377,0.76,0.22,0.01
378,1.00,,
379,0.99,0.01,
380,0.09,0.56,0.35
