,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,45,45,35,21,23,49,49
1,35,41,23,21,21,21,49
2,49,49,31,33,23,41,47
3,45,49,21,21,23,37,49
4,29,35,29,21,27,21,37
5,33,47,21,21,21,47,37
6,49,47,23,37,29,45,33
7,31,49,39,25,23,41,39
8,35,45,29,23,21,29,49
9,49,41,41,21,27,27,41
10,41,25,39,23,21,23,23
11,49,49,21,21,29,25,39
12,45,27,27,21,21,49,43
13,33,27,21,21,25,23,37
14,31,21,29,25,23,33,29
15,31,49,39,23,23,23,43
16,41,25,23,23,21,35,47
17,49,25,25,21,25,49,25
18,37,49,45,31,21,25,37
19,49,23,27,21,21,49,35
20,47,47,25,23,21,35,37
21,47,37,21,33,21,31,21
22,49,25,29,25,21,37,45
23,49,35,23,25,21,33,49
24,45,31,39,27,21,23,45
25,49,27,21,27,27,49,39
26,23,49,29,21,29,39,41
27,29,49,37,25,23,49,37
28,49,49,43,21,25,47,27
29,37,49,21,25,21,21,45
30,35,49,35,21,23,45,45
31,45,37,21,31,49,29,45
32,41,49,21,21,21,23,29
33,41,49,21,29,31,23,39
34,47,31,37,29,27,21,49
35,21,49,39,27,27,43,49
36,49,39,47,21,21,23,49
37,47,47,29,21,23,49,49
38,27,25,31,25,21,31,45
39,41,47,37,29,21,33,49
40,39,49,41,23,21,27,49
41,41,49,29,29,21,31,29
42,37,47,31,25,21,45,39
43,49,29,27,33,21,47,43
44,41,31,35,27,23,43,49
45,49,41,23,21,21,47,47
46,23,49,29,23,27,47,49
47,41,43,27,33,29,25,47
48,49,47,25,31,21,39,47
49,41,47,23,21,27,47,49
50,49,47,29,35,27,43,43
51,41,49,23,23,27,31,49
52,27,49,31,23,25,31,49
53,45,43,29,23,23,39,29
54,35,43,33,21,23,29,43
55,49,27,23,21,23,31,49
56,47,49,31,27,23,49,45
57,49,25,23,23,23,33,45
58,29,49,25,27,21,49,43
59,43,47,29,23,21,27,35
60,47,43,23,35,23,39,49
61,47,33,23,25,29,49,49
62,49,39,21,33,23,37,49
63,43,47,27,29,23,39,49
64,33,47,29,23,21,33,49
65,49,47,27,29,29,29,37
66,49,39,31,29,21,47,49
67,35,47,33,45,21,49,43
68,49,21,21,33,29,29,49
69,43,23,21,21,21,47,49
70,37,37,31,21,21,23,47
71,49,31,23,27,21,49,49
72,29,35,23,25,25,49,43
73,39,43,27,23,23,23,23
74,49,43,23,23,23,49,41
75,47,35,23,29,25,21,41
76,45,29,29,21,21,47,25
77,49,49,39,27,21,39,47
78,49,49,27,21,21,41,43
79,45,49,27,21,21,41,45
80,35,49,35,23,21,29,45
81,33,47,35,21,25,43,25
82,49,49,45,25,23,49,49
83,49,41,23,41,21,43,45
84,37,49,45,21,21,33,49
85,35,45,39,23,21,49,49
86,45,37,23,21,23,23,49
87,49,49,43,21,21,25,49
88,39,49,25,21,39,27,27
89,43,45,21,33,23,31,47
90,49,43,21,21,21,27,49
91,45,33,35,21,21,35,49
92,49,41,33,21,25,33,37
93,41,49,21,23,27,39,49
94,31,47,39,21,21,25,49
95,49,39,23,21,21,21,45
96,41,49,21,25,37,21,49
97,35,37,29,21,43,21,25
98,49,41,23,25,21,33,45
99,47,49,27,21,21,21,31
100,41,43,25,21,31,49,21
101,31,45,31,23,21,45,49
102,43,33,23,37,23,27,47
103,35,21,37,25,21,35,47
104,49,33,31,21,25,49,35
105,47,43,25,21,21,21,49
106,25,33,21,33,29,25,47
107,49,49,31,23,29,49,49
108,49,43,23,25,21,49,49
109,35,23,27,25,23,25,49
110,49,23,23,27,25,37,33
111,47,47,27,23,21,47,49
112,49,49,33,23,21,43,49
113,49,33,27,21,21,49,49
114,39,49,23,23,23,49,33
115,29,33,25,21,29,49,21
116,21,31,27,21,23,35,25
117,45,27,45,21,25,21,45
118,45,35,43,27,21,27,49
119,43,49,23,27,21,37,49
120,49,29,31,35,23,25,49
121,43,33,43,23,23,39,49
122,37,39,21,23,25,21,33
123,41,21,31,21,21,49,39
124,49,35,45,21,33,31,49
125,47,31,35,21,27,49,21
126,41,31,31,21,21,25,45
127,23,45,29,27,21,49,33
128,49,43,29,21,29,43,49
129,39,47,41,41,21,49,45
130,47,41,39,25,21,43,37
131,47,33,43,23,21,21,49
132,29,49,29,23,25,29,45
133,37,39,35,21,29,47,39
134,21,39,43,21,23,25,49
135,47,29,23,23,25,31,45
136,39,49,37,21,23,21,49
137,49,47,31,21,21,33,49
138,45,27,47,23,21,33,49
139,49,49,27,21,23,25,27
140,49,49,33,27,21,25,35
141,35,35,31,29,23,45,45
142,47,49,31,35,21,43,49
143,49,31,49,41,21,49,43
144,27,37,27,23,21,49,49
145,29,43,27,29,25,25,35
146,49,47,25,23,27,45,35
147,33,43,45,29,25,27,49
148,33,23,45,25,21,49,25
149,31,39,35,33,31,21,37
150,21,27,31,31,23,31,49
151,47,49,39,21,25,49,49
152,25,47,23,27,21,27,45
153,25,41,21,27,25,27,37
154,49,33,27,23,21,43,41
155,49,25,25,25,21,21,47
156,39,47,33,21,31,31,43
157,49,49,33,25,23,47,47
158,35,49,35,23,21,49,25
159,43,43,45,21,23,27,39
160,25,47,37,29,21,25,31
161,31,49,27,25,25,45,31
162,49,47,23,27,27,45,43
163,47,49,39,21,25,21,29
164,41,45,37,27,21,43,41
165,43,43,43,23,21,21,31
166,47,39,39,27,25,25,49
167,49,47,31,21,21,25,43
168,23,49,31,21,23,35,49
169,43,37,39,21,23,49,47
170,49,47,41,21,49,25,49
171,35,49,49,27,21,21,45
172,47,43,27,27,23,39,47
173,31,39,21,23,21,49,47
174,49,29,27,23,23,47,49
175,45,39,31,25,25,47,43
176,43,49,21,27,21,37,37
177,49,49,25,27,23,49,29
178,21,39,27,25,21,25,29
179,25,49,27,21,21,47,49
180,37,49,21,25,21,35,47
181,45,49,37,27,21,39,47
182,37,33,23,21,21,31,33
183,47,39,21,23,21,25,49
184,49,21,23,31,21,47,23
185,41,49,27,33,23,25,33
186,49,29,21,21,25,23,49
187,39,49,21,21,21,23,49
188,29,49,33,21,21,27,47
189,45,35,25,21,25,45,29
190,31,37,25,23,21,27,43
191,49,49,43,25,21,39,25
192,49,41,31,21,21,43,43
193,37,47,27,29,23,43,41
194,49,43,25,25,23,37,29
195,33,41,43,25,21,21,31
196,49,47,27,29,21,33,43
197,29,33,27,21,21,29,49
198,45,47,21,23,25,21,27
199,43,43,37,21,21,45,29
