,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,1.00,-1.12,-1.44,-2.34,-3.19,2.22,2.22,1.58
SVWP,1.00,,-4.12,-2.51,-6.57,-7.14,3.18,2.54,1.70
DCC_joint,-1.12,-4.12,,-0.81,-1.91,-3.11,5.87,5.08,5.01
SW_cross_validated,-1.44,-2.51,-0.81,,-0.13,-0.89,3.41,3.39,2.93
SW_15,-2.34,-6.57,-1.91,-0.13,,-1.42,8.07,6.90,7.35
SW_30,-3.19,-7.14,-3.11,-0.89,-1.42,,8.46,7.53,7.82
SW_60,2.22,3.18,5.87,3.41,8.07,8.46,,0.27,-1.60
SW_120,2.22,2.54,5.08,3.39,6.90,7.53,0.27,,-1.45
sFC,1.58,1.70,5.01,2.93,7.35,7.82,-1.60,-1.45,
