,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.36,5.71,-1.01,3.05,0.18,0.07,5.07,59.85
SVWP,0.36,,5.54,-1.36,2.83,-0.12,-0.29,4.87,62.49
DCC_joint,5.71,5.54,,-6.04,-1.21,-4.58,-5.66,-0.97,58.15
SW_cross_validated,-1.01,-1.36,-6.04,,3.65,1.05,1.07,5.46,51.36
SW_15,3.05,2.83,-1.21,3.65,,-2.60,-3.01,0.57,39.49
SW_30,0.18,-0.12,-4.58,1.05,-2.60,,-0.12,3.98,47.38
SW_60,0.07,-0.29,-5.66,1.07,-3.01,-0.12,,5.01,60.06
SW_120,5.07,4.87,-0.97,5.46,0.57,3.98,5.01,,63.78
sFC,59.85,62.49,58.15,51.36,39.49,47.38,60.06,63.78,
