,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,47,25,47,47,29,25,47
1,39,37,37,45,27,41,47
2,49,49,33,35,21,39,49
3,43,49,29,21,21,45,45
4,49,35,37,37,25,45,49
5,47,39,39,27,21,31,49
6,49,43,37,27,21,49,43
7,37,49,49,25,29,35,39
8,47,27,37,25,27,29,49
9,47,45,41,21,31,29,49
10,49,47,27,33,25,39,49
11,43,41,27,21,21,27,25
12,27,43,35,25,31,49,49
13,41,27,47,31,21,45,35
14,29,49,47,27,25,49,21
15,35,45,39,21,21,31,49
16,41,43,45,21,27,47,43
17,39,47,39,41,29,33,43
18,45,39,31,41,23,29,25
19,49,23,29,27,27,35,37
20,49,37,43,23,31,35,35
21,47,41,27,29,21,35,49
22,49,37,37,27,21,35,33
23,47,45,43,31,33,41,49
24,45,43,35,33,21,27,23
25,23,41,27,31,21,33,45
26,45,47,37,25,25,23,49
27,49,49,43,25,21,41,45
28,49,21,49,29,21,21,37
29,49,49,45,33,23,43,29
30,49,45,27,21,49,43,33
31,49,47,23,23,23,29,41
32,35,25,33,23,27,35,47
33,47,37,29,33,27,49,41
34,49,43,35,21,49,33,31
35,43,39,39,25,25,25,49
36,49,45,29,35,23,35,29
37,49,21,23,33,47,33,35
38,41,31,49,25,47,33,21
39,47,35,31,23,23,37,49
40,35,37,29,41,25,29,29
41,37,47,43,27,23,39,45
42,47,45,41,27,27,43,49
43,49,31,39,29,31,29,49
44,49,49,49,43,49,39,49
45,47,49,49,31,21,45,49
46,49,41,43,27,27,45,47
47,47,47,49,23,21,49,21
48,49,25,37,21,29,49,47
49,47,45,37,21,21,47,45
50,31,37,41,29,21,27,47
51,37,35,43,49,23,45,37
52,43,33,29,29,21,49,49
53,45,49,27,21,23,49,41
54,45,21,25,21,21,33,47
55,49,45,27,21,37,31,49
56,45,49,25,23,25,33,49
57,23,33,37,33,21,49,49
58,41,49,23,21,21,21,45
59,37,45,35,33,23,47,49
60,37,39,47,41,21,37,43
61,33,25,21,23,27,29,37
62,37,37,41,31,21,49,27
63,37,37,49,29,21,35,43
64,25,35,29,23,21,35,43
65,49,45,39,21,29,35,45
66,47,41,43,21,23,45,39
67,41,49,25,29,23,47,49
68,39,49,35,31,27,27,27
69,43,45,49,29,31,43,49
70,49,43,27,21,37,43,39
71,47,21,45,33,23,25,23
