,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,,,,,,,,,,
DCC_bivariate_loop,,,,,,,,,,,,
SW_cross_validated,,0.000,0.980,0.792,-0.152,-0.511,0.515,-0.079,0.931,-0.028,0.851,0.330
SW_15,,-0.000,0.901,0.899,0.898,0.896,0.905,0.718,0.918,0.430,0.655,0.722
SW_30,,-0.000,0.955,0.948,0.937,0.934,0.928,0.771,0.947,0.415,0.790,0.762
SW_60,,-0.000,0.979,0.972,0.942,0.892,0.782,0.721,0.956,0.247,0.849,0.734
SW_120,,0.000,0.984,0.945,0.624,-0.330,-0.587,0.226,0.941,-0.080,0.836,0.356
sFC,,,,,,,,,,,0.000,0.000
