,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.045,0.045,0.054,0.056,0.065,0.069,0.072,0.056,0.054,0.048,0.046,0.055
DCC_joint,0.050,0.048,0.071,0.072,0.073,0.072,0.073,0.059,0.076,0.052,0.054,0.064
DCC_bivariate_loop,0.058,0.059,0.061,0.062,0.063,0.064,0.066,0.064,0.062,0.061,0.061,0.062
SW_cross_validated,0.092,0.094,0.094,0.102,0.113,0.108,0.105,0.099,0.096,0.095,0.093,0.099
SW_15,0.227,0.226,0.226,0.227,0.224,0.226,0.225,0.225,0.226,0.224,0.227,0.226
SW_30,0.172,0.172,0.171,0.172,0.170,0.171,0.172,0.170,0.172,0.170,0.171,0.171
SW_60,0.133,0.134,0.133,0.133,0.135,0.135,0.140,0.134,0.135,0.134,0.134,0.135
SW_120,0.119,0.117,0.120,0.118,0.126,0.129,0.136,0.116,0.119,0.116,0.117,0.121
sFC,0.054,0.052,0.074,0.074,0.075,0.075,0.075,0.062,0.080,0.055,0.058,0.067
