,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.032,0.039,0.025,0.111,0.091,0.010,0.007,0.019,0.008,0.016,0.034
DCC_joint,0.022,0.020,0.013,0.009,0.004,0.006,0.006,0.005,0.021,0.007,0.005,0.011
DCC_bivariate_loop,0.030,0.021,0.022,0.020,0.032,0.024,0.026,0.019,0.023,0.006,0.027,0.023
SW_cross_validated,0.027,0.011,0.024,0.041,0.069,0.008,0.013,0.007,0.016,0.015,0.013,0.022
SW_15,0.028,0.020,0.025,0.032,0.023,0.033,0.013,0.015,0.021,0.018,0.024,0.023
SW_30,0.027,0.019,0.022,0.019,0.030,0.029,0.016,0.015,0.026,0.014,0.025,0.022
SW_60,0.026,0.021,0.019,0.020,0.034,0.027,0.016,0.020,0.023,0.017,0.025,0.022
SW_120,0.040,0.023,0.022,0.024,0.016,0.010,0.015,0.014,0.025,0.011,0.021,0.020
sFC,0.026,0.016,0.002,0.002,0.008,0.006,0.006,0.005,0.003,0.008,0.003,0.008
