,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.068,0.112,0.131,0.240,0.531,0.568,0.312,0.210,0.170,0.136,0.226
DCC_joint,0.039,0.037,0.550,0.563,0.568,0.562,0.568,0.313,0.615,0.162,0.243,0.384
DCC_bivariate_loop,0.051,0.044,0.173,0.202,0.238,0.262,0.298,0.231,0.214,0.156,0.149,0.184
SW_cross_validated,0.062,0.140,0.182,0.432,0.584,0.623,0.534,0.337,0.280,0.186,0.142,0.318
SW_15,0.211,0.268,0.256,0.257,0.254,0.260,0.249,0.257,0.271,0.238,0.233,0.250
SW_30,0.160,0.203,0.175,0.187,0.202,0.211,0.234,0.213,0.218,0.194,0.171,0.197
SW_60,0.115,0.147,0.122,0.157,0.238,0.317,0.419,0.219,0.200,0.184,0.147,0.206
SW_120,0.113,0.124,0.126,0.285,0.497,0.634,0.674,0.313,0.236,0.196,0.141,0.304
sFC,0.030,0.031,0.568,0.568,0.569,0.570,0.571,0.312,0.655,0.166,0.244,0.390
