,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.039,0.039,0.044,0.044,0.051,0.064,0.068,0.051,0.046,0.042,0.041,0.048
DCC_joint,0.049,0.048,0.070,0.071,0.072,0.071,0.072,0.058,0.075,0.051,0.054,0.063
DCC_bivariate_loop,0.058,0.059,0.062,0.062,0.063,0.065,0.067,0.064,0.062,0.061,0.061,0.062
SW_cross_validated,0.085,0.086,0.087,0.096,0.108,0.102,0.099,0.093,0.087,0.088,0.085,0.092
SW_15,0.267,0.268,0.266,0.267,0.265,0.266,0.266,0.266,0.268,0.265,0.267,0.266
SW_30,0.186,0.186,0.185,0.186,0.185,0.186,0.186,0.185,0.187,0.185,0.185,0.186
SW_60,0.136,0.136,0.136,0.136,0.138,0.139,0.143,0.137,0.137,0.137,0.138,0.138
SW_120,0.116,0.113,0.115,0.116,0.123,0.127,0.132,0.114,0.115,0.113,0.115,0.118
sFC,0.054,0.052,0.074,0.074,0.075,0.075,0.075,0.062,0.080,0.055,0.058,0.067
