,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.020,0.026,0.027,0.113,0.103,0.008,0.006,0.015,0.009,0.017,0.033
DCC_joint,0.023,0.028,0.014,0.010,0.005,0.007,0.007,0.006,0.023,0.014,0.010,0.014
DCC_bivariate_loop,0.033,0.030,0.022,0.021,0.032,0.022,0.028,0.022,0.024,0.012,0.030,0.025
SW_cross_validated,0.033,0.019,0.011,0.036,0.070,0.010,0.019,0.006,0.012,0.009,0.022,0.022
SW_15,0.034,0.012,0.027,0.021,0.016,0.021,0.020,0.030,0.026,0.017,0.028,0.023
SW_30,0.030,0.021,0.023,0.025,0.026,0.021,0.022,0.022,0.017,0.017,0.029,0.023
SW_60,0.028,0.021,0.030,0.023,0.032,0.026,0.019,0.021,0.017,0.022,0.030,0.024
SW_120,0.043,0.029,0.025,0.018,0.016,0.011,0.019,0.012,0.016,0.006,0.031,0.021
sFC,0.026,0.016,0.002,0.002,0.008,0.006,0.006,0.004,0.003,0.008,0.003,0.008
