,0,1,2
0,0.59,0.41,
1,1.00,,
2,0.76,0.24,
3,0.53,0.31,0.17
4,0.79,0.21,
5,0.16,0.82,0.01
6,0.03,0.74,0.23
7,0.01,0.99,
8,0.72,0.28,
9,0.47,0.53,
10,1.00,,
11,1.00,,
12,0.91,0.09,
13,1.00,,
14,0.17,0.83,
15,1.00,,
16,0.36,0.64,
17,0.18,0.82,
18,0.76,0.24,
19,1.00,,
20,0.54,0.46,
21,0.53,0.47,
22,1.00,,
23,0.30,0.70,
24,0.40,0.48,0.12
25,0.27,0.73,
26,0.11,0.89,
27,0.88,0.12,
28,0.24,0.66,0.10
29,1.00,,
30,0.41,0.59,
31,0.12,0.32,0.56
32,1.00,,
33,0.76,0.00,0.24
34,0.36,0.64,
35,1.00,,
36,0.29,0.71,
37,0.78,0.22,
38,0.25,0.68,0.07
39,1.00,,
40,1.00,,
41,1.00,,
42,0.16,0.84,
43,1.00,,
44,0.01,0.99,
45,1.00,,
46,0.80,0.20,
47,0.37,0.63,
48,1.00,,
49,0.64,0.36,0.00
50,0.20,0.80,
51,0.18,0.74,0.08
52,1.00,,
53,0.15,0.85,
54,0.09,0.44,0.47
55,0.99,0.01,
56,0.03,0.97,
57,0.68,0.19,0.13
58,1.00,,
59,1.00,,
60,0.25,0.75,
61,0.18,0.49,0.34
62,1.00,,
63,1.00,,
64,1.00,,
65,0.56,0.40,0.03
66,1.00,,
67,1.00,,
68,0.26,0.74,
69,1.00,,
70,0.04,0.96,
71,1.00,,
72,0.54,0.46,
73,0.63,0.20,0.16
74,0.30,0.62,0.07
75,0.60,0.40,
76,0.66,0.34,
77,0.21,0.77,0.02
78,0.60,0.40,
79,0.94,0.06,
80,0.03,0.44,0.53
81,0.22,0.58,0.20
82,0.07,0.28,0.66
83,0.39,0.61,
84,1.00,,
85,1.00,,
86,1.00,,
87,1.00,,
88,0.67,0.33,
89,0.12,0.23,0.65
90,1.00,,
91,0.08,0.27,0.66
92,0.73,0.00,0.27
93,0.14,0.10,0.76
94,1.00,,
95,1.00,,
96,0.21,0.79,
97,0.03,0.73,0.24
98,0.72,0.28,
99,1.00,,
100,0.01,0.84,0.15
101,1.00,,
102,1.00,,
103,0.45,0.55,
104,0.44,0.56,
105,1.00,,
106,0.41,0.59,
107,0.68,0.32,
108,0.40,0.55,0.05
109,0.23,0.77,
110,0.18,0.67,0.15
111,0.07,0.16,0.77
112,1.00,,
113,0.02,0.67,0.31
114,0.04,0.96,
115,0.08,0.92,
116,0.55,0.23,0.21
117,0.50,0.28,0.22
118,0.52,0.48,
119,1.00,,
120,0.01,0.99,
121,0.19,0.81,
122,1.00,,
123,0.70,0.30,
124,0.17,0.82,0.01
125,0.76,0.24,
126,0.67,0.33,
127,0.02,0.19,0.79
128,0.80,0.20,
129,0.53,0.47,
130,1.00,,
131,0.60,0.19,0.20
132,0.22,0.66,0.12
133,0.43,0.57,
134,1.00,,
135,1.00,,
136,0.44,0.56,
137,0.05,0.95,
138,1.00,,
139,1.00,,
140,0.86,0.14,
141,1.00,,
142,0.86,0.14,
143,1.00,,
144,0.64,0.25,0.11
145,0.48,0.15,0.37
146,0.30,0.57,0.13
147,1.00,,
148,0.03,0.97,
149,0.50,0.50,
150,0.97,0.03,
151,0.40,0.60,
152,0.19,0.70,0.11
153,0.69,0.30,
154,0.80,0.20,
155,0.30,0.70,
156,1.00,,
157,0.18,0.02,0.79
158,0.12,0.30,0.58
159,1.00,,
160,0.55,0.45,
161,1.00,,
162,1.00,,
163,0.28,0.11,0.61
164,1.00,,
165,0.05,0.67,0.28
166,1.00,,
167,1.00,,
168,0.33,0.67,
169,1.00,,
170,0.03,0.97,
171,0.16,0.84,
172,1.00,,
173,0.46,0.54,
174,1.00,,
175,1.00,,
176,0.10,0.90,
177,0.07,0.90,0.03
178,0.64,0.12,0.24
179,0.71,0.29,
180,1.00,,
181,1.00,,
182,1.00,,
183,0.88,0.12,
184,1.00,,
185,0.49,0.51,
186,0.08,0.54,0.38
187,0.21,0.79,
188,1.00,,
189,1.00,,
190,0.02,0.29,0.70
191,1.00,,
192,0.14,0.86,
193,0.18,0.81,
194,0.48,0.52,
195,0.99,0.01,
196,1.00,,
197,0.15,0.85,
198,1.00,,
199,0.91,0.09,
200,1.00,,
201,0.49,0.51,
202,0.89,0.10,0.00
203,0.51,0.49,
204,0.08,0.39,0.53
205,0.85,0.09,0.06
206,0.00,0.01,0.98
207,1.00,,
208,1.00,,
209,1.00,,
210,0.24,0.76,
211,0.80,0.20,
212,0.07,0.93,
213,0.78,0.22,
214,1.00,,
215,0.04,0.15,0.81
216,1.00,,
217,1.00,,
218,0.25,0.75,
219,1.00,,
220,0.83,0.17,
221,1.00,,
222,1.00,,
223,0.80,0.20,
224,1.00,,
225,1.00,,
226,0.16,0.84,
227,1.00,,
228,0.71,0.29,
229,1.00,,
230,1.00,,
231,0.14,0.41,0.45
232,1.00,,
233,0.66,0.31,0.03
234,0.07,0.93,
235,1.00,,
236,1.00,,
237,0.89,0.11,
238,1.00,,
239,1.00,,
240,0.09,0.91,
241,1.00,,
242,1.00,,
243,1.00,,
244,0.25,0.75,
245,0.19,0.81,
246,0.49,0.51,
247,0.52,0.48,
248,1.00,,
249,0.10,0.90,
250,1.00,,
251,1.00,,
252,0.24,0.76,
253,0.01,0.22,0.77
254,0.11,0.89,
255,0.85,0.15,
256,0.34,0.66,
257,1.00,,
258,0.04,0.96,
259,0.37,0.63,
260,0.69,0.31,
261,0.29,0.43,0.28
262,1.00,,
263,1.00,,
264,0.12,0.88,
265,1.00,,
266,0.32,0.68,
267,1.00,,
268,0.17,0.83,
269,1.00,,
270,0.66,0.34,
271,0.11,0.50,0.39
272,1.00,,
