,0,1,2
251,0.99,0.01,
252,0.14,0.77,0.09
253,0.46,0.22,0.32
254,0.31,0.44,0.24
255,0.68,0.29,0.03
256,0.75,0.25,
257,0.91,0.09,
258,0.05,0.71,0.24
259,0.71,0.05,0.24
260,0.61,0.26,0.13
261,0.40,0.25,0.34
262,1.00,,
263,0.96,0.04,
264,0.67,0.33,
265,1.00,,
266,0.40,0.08,0.52
267,1.00,,
268,0.26,0.61,0.13
269,1.00,,
270,0.57,0.43,
271,0.17,0.20,0.63
272,1.00,,
273,1.00,,
274,0.38,0.30,0.32
275,1.00,,
276,0.43,0.17,0.40
277,1.00,,
278,0.46,0.40,0.14
279,0.66,0.31,0.03
280,0.31,0.61,0.08
281,0.81,0.15,0.05
282,0.14,0.74,0.11
283,0.36,0.11,0.54
284,0.51,0.48,0.01
285,1.00,,
286,1.00,,
287,0.75,0.16,0.08
288,0.98,0.02,
289,0.33,0.67,
290,0.32,0.50,0.17
291,0.84,0.07,0.09
292,0.51,0.35,0.13
293,0.78,0.07,0.15
294,0.87,0.06,0.07
295,0.48,0.43,0.09
296,0.12,0.87,0.01
297,0.42,0.46,0.12
298,0.56,0.23,0.21
299,0.23,0.47,0.29
300,1.00,,
301,0.47,0.11,0.42
302,0.48,0.34,0.17
303,0.18,0.77,0.05
304,0.15,0.67,0.18
305,0.37,0.57,0.06
306,0.67,0.22,0.11
307,0.16,0.84,
308,0.22,0.42,0.36
309,0.26,0.55,0.20
310,0.24,0.36,0.40
311,0.48,0.51,0.01
312,0.37,0.16,0.47
313,0.64,0.27,0.09
314,0.56,0.41,0.03
315,0.63,0.03,0.35
316,0.71,0.20,0.09
317,0.21,0.51,0.28
318,0.93,0.07,
319,0.43,0.10,0.47
320,1.00,,
321,0.41,0.26,0.32
322,0.82,0.00,0.18
323,0.33,0.07,0.61
324,0.79,0.16,0.05
325,0.30,0.24,0.45
326,0.02,0.98,
327,0.14,0.02,0.84
328,0.95,0.05,
329,0.51,0.49,0.00
330,0.34,0.39,0.27
331,0.24,0.38,0.38
332,0.74,0.01,0.25
333,0.52,0.37,0.11
334,0.96,0.04,
335,0.82,0.18,
336,1.00,,
337,1.00,,
338,0.77,0.23,
339,1.00,,
340,0.08,0.12,0.81
341,1.00,,
342,0.14,0.13,0.73
343,0.38,0.26,0.36
344,0.73,0.22,0.05
345,0.30,0.15,0.55
346,0.91,0.09,
347,0.40,0.32,0.28
348,0.21,0.79,
349,0.42,0.43,0.15
350,0.52,0.34,0.14
351,0.88,0.10,0.01
352,0.88,0.12,
353,1.00,,
354,0.52,0.15,0.33
355,0.51,0.47,0.03
356,0.90,0.09,0.01
357,1.00,,
358,0.36,0.58,0.06
359,0.56,0.23,0.20
360,0.00,1.00,
361,0.29,0.30,0.41
362,0.90,0.10,
363,1.00,,
364,0.53,0.34,0.13
365,0.40,0.09,0.51
366,1.00,,
367,1.00,,
368,0.65,0.29,0.05
369,0.49,0.48,0.02
370,0.99,0.01,
371,0.35,0.65,
372,0.99,0.01,
373,0.33,0.65,0.02
374,0.45,0.41,0.15
