,0,1,2
0,0.56,0.44,
1,1.00,,
2,1.00,,
3,0.95,0.02,0.02
4,0.98,0.02,
5,1.00,,
6,0.84,0.16,
7,1.00,,
8,1.00,,
9,1.00,,
10,1.00,,
11,1.00,,
12,1.00,,
13,1.00,,
14,1.00,,
15,1.00,,
16,0.95,0.05,
17,0.53,0.47,
18,1.00,0.00,
19,1.00,,
20,0.93,0.07,
21,0.64,0.36,
22,1.00,,
23,0.98,0.02,
24,0.80,0.20,
25,1.00,,
26,0.88,0.12,
27,1.00,,
28,0.99,0.00,0.00
29,1.00,,
30,1.00,,
31,1.00,,
32,1.00,,
33,1.00,,
34,0.94,0.06,
35,1.00,,
36,1.00,,
37,0.68,0.32,
38,1.00,,
39,1.00,,
40,1.00,,
41,1.00,,
42,0.81,0.19,
43,1.00,,
44,1.00,,
45,1.00,,
46,1.00,0.00,
47,0.95,0.02,0.03
48,1.00,,
49,0.59,0.41,
50,0.94,0.06,
51,1.00,,
52,1.00,,
53,0.98,0.02,
54,0.93,0.07,
55,0.99,0.01,
56,1.00,,
57,1.00,,
58,1.00,,
59,1.00,,
60,1.00,,
61,0.80,0.20,
62,1.00,,
63,1.00,,
64,1.00,,
65,0.99,0.01,
66,1.00,,
67,1.00,,
68,1.00,,
69,1.00,,
70,1.00,,
71,0.94,0.06,
72,0.93,0.07,
73,0.83,0.12,0.05
74,1.00,,
75,0.98,0.02,
76,0.78,0.22,
77,0.72,0.28,
78,1.00,,
79,1.00,,
80,0.99,0.01,
81,0.88,0.12,0.00
82,1.00,,
83,0.98,0.02,
84,1.00,,
85,1.00,,
86,1.00,,
87,1.00,,
88,0.61,0.35,0.05
89,1.00,,
90,1.00,,
91,0.96,0.04,
92,0.49,0.51,0.00
93,1.00,,
94,1.00,,
95,1.00,,
96,1.00,0.00,
97,1.00,,
98,0.99,0.01,
99,1.00,,
100,1.00,,
101,1.00,,
102,1.00,,
103,0.78,0.02,0.20
104,1.00,0.00,
105,1.00,0.00,
106,0.46,0.54,
107,1.00,,
108,0.70,0.30,
109,0.90,0.10,
110,1.00,,
111,1.00,,
112,1.00,,
113,0.93,0.07,
114,1.00,,
115,1.00,,
116,0.43,0.57,
117,0.57,0.42,0.00
118,0.96,0.04,
119,1.00,0.00,
120,1.00,,
121,1.00,,
122,1.00,,
123,0.97,0.03,
124,1.00,0.00,
125,0.97,0.03,
126,0.95,0.05,
127,0.97,0.03,
128,1.00,,
129,0.93,0.00,0.07
130,1.00,,
131,0.98,0.02,0.00
132,0.95,0.00,0.04
