,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,3.778,1.539,0.070,1.615
DCC_joint,3.778,,0.090,3.642,2.801
DCC_bivariate_loop,1.539,0.090,,1.511,1.090
SW_cross_validated,0.070,3.642,1.511,,1.479
sFC,1.615,2.801,1.090,1.479,
