,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.021,0.045,0.101,0.137,0.148,0.519,0.562,0.310,0.200,0.167,0.123,0.212
DCC_joint,0.058,0.063,0.390,0.480,0.511,0.524,0.538,0.311,0.399,0.159,0.238,0.334
DCC_bivariate_loop,0.060,0.071,0.180,0.223,0.258,0.274,0.287,0.228,0.212,0.151,0.142,0.190
SW_cross_validated,0.078,0.056,0.189,0.314,0.419,0.597,0.523,0.350,0.214,0.168,0.113,0.275
SW_15,0.276,0.164,0.225,0.194,0.204,0.221,0.223,0.235,0.207,0.239,0.220,0.219
SW_30,0.186,0.127,0.159,0.150,0.146,0.175,0.203,0.191,0.167,0.181,0.167,0.168
SW_60,0.132,0.087,0.129,0.144,0.186,0.301,0.401,0.189,0.165,0.174,0.128,0.185
SW_120,0.107,0.069,0.149,0.291,0.476,0.627,0.672,0.322,0.194,0.191,0.119,0.292
sFC,0.052,0.030,0.568,0.569,0.569,0.568,0.568,0.312,0.654,0.162,0.244,0.390
