,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.046,0.050,0.066,0.071,0.071,0.099,0.102,0.070,0.067,0.056,0.055,0.069
DCC_joint,0.051,0.048,0.090,0.095,0.099,0.100,0.101,0.071,0.098,0.058,0.064,0.079
DCC_bivariate_loop,0.060,0.057,0.068,0.068,0.072,0.074,0.074,0.070,0.068,0.066,0.064,0.067
SW_cross_validated,0.101,0.105,0.110,0.121,0.136,0.142,0.131,0.117,0.112,0.108,0.106,0.117
SW_15,0.236,0.237,0.238,0.235,0.237,0.236,0.236,0.234,0.239,0.238,0.236,0.236
SW_30,0.177,0.178,0.179,0.178,0.178,0.178,0.178,0.177,0.180,0.180,0.177,0.178
SW_60,0.137,0.138,0.141,0.140,0.140,0.146,0.151,0.141,0.141,0.142,0.139,0.142
SW_120,0.118,0.124,0.127,0.132,0.142,0.153,0.161,0.130,0.119,0.126,0.123,0.132
sFC,0.053,0.050,0.104,0.102,0.104,0.104,0.103,0.070,0.115,0.058,0.066,0.085
