,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.038,0.040,0.036,0.034,0.029,0.348,0.022,0.078,0.518,0.114
DCC_bivariate_loop,,0.000,0.010,0.021,0.024,0.030,0.013,0.054,0.009,0.133,0.043,0.034
SW_cross_validated,,0.000,0.013,0.132,0.321,0.433,0.104,0.125,0.010,0.093,0.068,0.130
SW_15,,0.000,0.023,0.019,0.019,0.020,0.020,0.055,0.013,0.053,0.075,0.030
SW_30,,0.000,0.022,0.014,0.015,0.019,0.017,0.055,0.011,0.091,0.044,0.029
SW_60,,0.000,0.014,0.010,0.013,0.043,0.025,0.095,0.010,0.133,0.057,0.040
SW_120,,0.000,0.009,0.021,0.050,0.171,0.153,0.077,0.009,0.117,0.096,0.070
sFC,,,,,,,,,,,,
