,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.038,0.037,0.049,0.051,0.048,0.092,0.097,0.062,0.050,0.047,0.045,0.056
DCC_joint,0.047,0.046,0.088,0.093,0.097,0.098,0.098,0.068,0.097,0.054,0.060,0.077
DCC_bivariate_loop,0.058,0.056,0.067,0.066,0.071,0.072,0.072,0.068,0.066,0.064,0.062,0.066
SW_cross_validated,0.084,0.084,0.097,0.109,0.125,0.129,0.117,0.102,0.093,0.090,0.088,0.102
SW_15,0.262,0.258,0.260,0.258,0.259,0.260,0.258,0.260,0.260,0.261,0.259,0.260
SW_30,0.181,0.180,0.181,0.181,0.179,0.180,0.179,0.181,0.182,0.182,0.180,0.181
SW_60,0.133,0.132,0.135,0.134,0.134,0.139,0.144,0.135,0.135,0.136,0.133,0.135
SW_120,0.110,0.111,0.116,0.120,0.133,0.148,0.153,0.120,0.108,0.117,0.112,0.123
sFC,0.053,0.050,0.104,0.102,0.104,0.104,0.103,0.070,0.115,0.058,0.065,0.084
