,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.893,0.860,0.821,0.817,0.775,0.027,0.887,0.011,0.428,0.552
DCC_bivariate_loop,,-0.000,0.958,0.927,0.897,0.880,0.868,0.706,0.952,0.380,0.836,0.740
SW_cross_validated,,-0.000,0.978,0.880,0.676,-0.305,0.495,-0.099,0.940,0.004,0.835,0.440
SW_15,,-0.000,0.896,0.915,0.902,0.895,0.880,0.756,0.920,0.495,0.673,0.733
SW_30,,0.000,0.945,0.955,0.950,0.931,0.913,0.796,0.951,0.485,0.768,0.769
SW_60,,-0.000,0.971,0.971,0.959,0.902,0.781,0.775,0.954,0.270,0.834,0.742
SW_120,,-0.000,0.982,0.937,0.652,-0.408,-0.606,0.218,0.950,-0.100,0.850,0.347
sFC,,,,,,,,,,,,
