,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.024,0.042,0.037,0.032,0.113,0.005,0.006,0.012,0.006,0.025,0.030
DCC_joint,0.038,0.026,0.046,0.023,0.015,0.020,0.006,0.009,0.034,0.005,0.012,0.021
DCC_bivariate_loop,0.036,0.025,0.018,0.034,0.033,0.035,0.014,0.021,0.022,0.014,0.019,0.025
SW_cross_validated,0.023,0.023,0.026,0.096,0.098,0.051,0.007,0.018,0.016,0.010,0.021,0.035
SW_15,0.013,0.014,0.023,0.029,0.015,0.022,0.029,0.022,0.020,0.022,0.016,0.020
SW_30,0.029,0.020,0.021,0.028,0.017,0.016,0.023,0.023,0.022,0.016,0.023,0.022
SW_60,0.027,0.011,0.018,0.032,0.020,0.020,0.009,0.028,0.016,0.012,0.030,0.020
SW_120,0.040,0.023,0.019,0.017,0.009,0.011,0.008,0.025,0.012,0.018,0.032,0.019
sFC,0.029,0.028,0.003,0.003,0.003,0.002,0.002,0.005,0.003,0.005,0.008,0.008
