,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.012,0.013,0.012,0.011,0.009,0.110,0.007,0.025,0.164,0.036
DCC_bivariate_loop,,0.000,0.003,0.007,0.008,0.010,0.004,0.017,0.003,0.042,0.014,0.011
SW_cross_validated,,0.000,0.004,0.042,0.101,0.137,0.033,0.040,0.003,0.029,0.022,0.041
SW_15,,0.000,0.007,0.006,0.006,0.006,0.006,0.017,0.004,0.017,0.024,0.009
SW_30,,0.000,0.007,0.005,0.005,0.006,0.005,0.018,0.003,0.029,0.014,0.009
SW_60,,0.000,0.004,0.003,0.004,0.014,0.008,0.030,0.003,0.042,0.018,0.013
SW_120,,0.000,0.003,0.007,0.016,0.054,0.048,0.024,0.003,0.037,0.030,0.022
sFC,,,,,,,,,,,,
