,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.021,0.064,0.117,0.143,0.163,0.527,0.563,0.310,0.218,0.169,0.128,0.220
DCC_joint,0.054,0.032,0.398,0.484,0.513,0.526,0.540,0.308,0.410,0.159,0.235,0.333
DCC_bivariate_loop,0.055,0.043,0.172,0.218,0.254,0.271,0.284,0.225,0.206,0.151,0.141,0.184
SW_cross_validated,0.068,0.143,0.154,0.310,0.422,0.597,0.529,0.339,0.265,0.185,0.144,0.287
SW_15,0.210,0.254,0.266,0.238,0.260,0.261,0.275,0.241,0.263,0.236,0.245,0.250
SW_30,0.152,0.184,0.194,0.177,0.188,0.214,0.240,0.210,0.212,0.190,0.191,0.196
SW_60,0.118,0.140,0.144,0.154,0.207,0.316,0.411,0.202,0.209,0.181,0.153,0.203
SW_120,0.101,0.136,0.133,0.286,0.481,0.628,0.668,0.322,0.229,0.207,0.141,0.303
sFC,0.053,0.031,0.568,0.569,0.569,0.568,0.568,0.312,0.654,0.162,0.244,0.391
