,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.042,0.061,0.039,0.044,0.092,0.005,0.009,0.015,0.007,0.027,0.033
DCC_joint,0.035,0.021,0.043,0.022,0.014,0.019,0.006,0.006,0.034,0.002,0.008,0.019
DCC_bivariate_loop,0.034,0.022,0.020,0.032,0.030,0.033,0.013,0.019,0.022,0.015,0.019,0.024
SW_cross_validated,0.025,0.027,0.047,0.104,0.101,0.050,0.005,0.016,0.020,0.008,0.023,0.039
SW_15,0.021,0.022,0.032,0.028,0.029,0.028,0.024,0.024,0.020,0.016,0.020,0.024
SW_30,0.026,0.019,0.037,0.026,0.024,0.030,0.017,0.024,0.017,0.019,0.017,0.023
SW_60,0.027,0.020,0.034,0.028,0.012,0.023,0.008,0.032,0.020,0.015,0.025,0.022
SW_120,0.045,0.031,0.044,0.018,0.013,0.010,0.007,0.032,0.023,0.019,0.034,0.025
sFC,0.029,0.028,0.003,0.003,0.003,0.002,0.002,0.005,0.003,0.005,0.008,0.008
