,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.093,0.306,0.552,0.215,0.194,0.166,1.314,0.542,0.228,1.569,0.738
1,1.276,0.603,0.411,0.298,0.151,1.314,1.268,0.236,0.164,1.379,0.907
2,1.449,0.941,0.474,0.142,0.142,0.255,1.298,0.612,0.312,1.303,1.421
3,0.468,0.953,0.399,0.218,0.252,0.247,1.018,0.840,0.295,1.465,0.902
4,0.881,1.015,0.611,0.395,0.217,0.203,1.044,2.031,0.836,1.456,0.478
5,1.103,1.564,0.551,0.215,0.274,1.106,0.438,1.240,0.702,1.426,0.577
6,1.201,2.239,0.490,0.303,0.178,1.196,1.344,1.337,0.665,1.521,1.024
7,0.413,0.898,0.411,0.197,0.242,1.088,0.155,0.742,0.852,1.803,0.851
8,1.135,1.631,0.367,0.229,0.203,0.161,0.797,0.904,0.589,1.757,1.364
9,0.850,1.060,0.505,0.118,0.254,1.507,1.312,0.716,0.319,0.386,1.372
